"Title","Date"
"치명적인 AI 법안... 이러다가 한국만 고립되게 생겼다 [소셜 코리아]"," 오마이뉴스언론사 선정2023.12.08.네이버뉴스 "
"EU ""학교 AI 감정인식 금지"" 법안제정, 한국 교육부는?"," 오마이뉴스2023.12.13.네이버뉴스 "
"[2023 산업계 결산] ""AI열풍불고 물가안정 사활···글로벌 불확실성 지..."," 에너지경제2023.12.28. "
"이용빈 “‘광주 AI영재고 설립법’ 국회 통과 촉구”"," 전남매일2023.12.21. "
"여성정치발전비 구체화·딥페이크 선거 규제 등 법안 130건 본회의 통과"," 서울신문언론사 선정2023.12.20.네이버뉴스 "
"[박상오 변호사의 콘텐츠(Content) 법률 산책] EU의 'AI 규제법' 도입을 ..."," 메트로신문2023.12.24. "
"미국, AI 유엔 결의 추진…""인류 전체 위해 선량하게 쓰자"""," 연합뉴스2023.12.14.네이버뉴스 "
"AI 의료기기 다루는 '디지털의료제품법' 국회 본회의 통과"," 한국경제TV2023.12.20.네이버뉴스 "
"""세계 첫 AI 규제법 합의 임박""…EU, 어떤 내용 담나"," 아시아경제언론사 선정2023.12.07.네이버뉴스 "
"국가 간 통상마찰 우려…글로벌 AI기업 비용 부담"," 이데일리언론사 선정A6면 3단2023.12.11.네이버뉴스 "
"英 음란물 연령확인에 AI 안면인식 도입…EU와 정반대 행보"," 뉴스1언론사 선정2023.12.09.네이버뉴스 "
"""정치인 게섯거라""…브라질서 AI가 만든 조례, 만장일치 통과"," 뉴시스언론사 선정2023.12.05.네이버뉴스 "
"마크롱 “EU AI혁신 막을 것” 경고…AI규제안 막판 변수 떠올라"," 이데일리언론사 선정2023.12.12.네이버뉴스 "
"""EU, 챗GPT 대항할 'AI 법' 잠정 합의""…'가장 광범위한 규제'"," 연합뉴스2023.12.07.네이버뉴스 "
"'안전한 AI' 글로벌 논의 가속…우리나라는?"," 머니투데이방송2023.12.12. "
"(금요아침) AI 시대에 유럽을 보는 이유"," 전기신문2023.12.21. "
"세계는 지금 '선거철 AI딥페이크' 주의보⋯ ""거짓의 쓰나미가 온다"""," 아시아타임즈2023.12.28. "
"美-英, MS '오픈AI 독점 가능성' 조사…앱 논란 속에 EU, AI규제법 합의"," SBS Biz언론사 선정2023.12.11.네이버뉴스 "
"""AI 반도체""… 시장의 주요 이슈"," 디지털비즈온2023.12.30. "
"AI가 내 평판 긁어 ‘점수’ 매긴다면… ‘마이너리티 리포트’ 법 생겼..."," 한겨레언론사 선정2면 1단2023.12.10.네이버뉴스 "
"배달라이더 범죄 경력 조회·공교육 AI 강화 민생법안 통과"," 국회방송2023.12.22. "
"한국방송협회 ""빅테크, 허락없이 저작물 AI 학습에 써선 안 돼"""," 기자협회보언론사 선정2023.12.14.네이버뉴스 "
"국회, 예산부수법안 처리…결혼·출산시 3억원까지 증여 공제"," 굿모닝경제2023.12.21. "
"AI 주도권 다툼, 결국 '밥그릇' 싸움되나"," 주간한국2023.12.15. "
"두 개의 전쟁, 최악 폭염, AI 논쟁... 지구촌 경고음 더 커졌다 [세계 10..."," 한국일보11면 1단2023.12.28.네이버뉴스 "
"과기정통부, AI 규범 의견수렴 나서...""미·EU식 균형 접근 필요"""," AI타임스2023.12.29. "
"만장일치 통과된 브라질 조례…""사실은 AI가 만든 것"" 충격 고백"," 중앙일보2023.12.05.네이버뉴스 "
"시대가 바꾼 선거법…총선 90일 전부터 'AI 후보 금지'"," 연합뉴스TV2023.12.23.네이버뉴스 "
"[중앙시평] AI 규제, EU 방식은 정답이 아니다"," 중앙일보A31면 1단2023.12.14.네이버뉴스 "
"[데스크의 눈]AI 규제법 서둘러야 하는 진짜 이유"," 이데일리A25면 2단2023.12.13.네이버뉴스 "
"[2023 결산 ④ SW] 달아오른 AI 경쟁, 무대는 서비스로…'법제화'도 관건"," 테크월드2023.12.14. "
"교육감들, '교부금 1% 디지털 교육 사용' 법안 철회 요구"," 뉴시스언론사 선정2023.12.05.네이버뉴스 "
"[리더스포럼]인공지능(AI), 기회와 위험의 공존"," 전자신문27면 3단2023.12.20.네이버뉴스 "
"KOSA 초거대AI추진협의회, 문체부 'AI-저작권 관련 활용 가이드' 개정 요..."," 인공지능신문2023.12.27. "
"AI 윤석열·이재명 못 본다"," 채널A언론사 선정2023.12.05.네이버뉴스 "
"세계 최초 ‘AI 규제법’ 합의…EU, 37시간 논의 끝 안면인식 등 엄격 통..."," 문화일보언론사 선정2023.12.09.네이버뉴스 "
