"title","description","comments"
"한번 삶은 황제성? 충스미스 - Unholy #shorts","중부내륙특별법 홍보영상 ▷매주 (화) 저녁 6시 공개 #samsmith #unholy #홍보맨.","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어이가읎네옄ㅋㅋㅋㅋㅋㅋㅋ | 아씨발내눈 | 왜 내가 수치스럽지.... | . | 아니이게무슨일이래요.."
"법안 통과 AI가 예측할 수 있다고?","법률 #AI #아이호퍼 #법원 내레이션: 타입캐스트 IT동아 http://it.donga.com 게임동아 http://game.donga.com IT동아 네이버포스트 ...",""
"[美마감 브리핑] 메가이슈 : AI 규제 법안 채택...칼날은 &#39;MSFT·오픈AI&#39;로 &#39;반독점 타깃&#39; 되다 / 머니투데이방송 (증시, 증권)","12/11 굿모닝 6:00 글로벌 뉴욕증시, 연착륙 기대에 일제히 상승 MSFT, 오픈AI 지분 투자 관련 반독점 조사 착수 테슬라, 11월 중국 내 ...","❤❤❤❤❤❤❤"
"PPT 이렇게 만들면 돼요~ #니가만들면되겠네요","","<a href=""https://bit.ly/4eJWMdw"">https://bit.ly/4eJWMdw</a><br><br>안녕하세요, 미스터 피피티입니다 :)<br>피피티 시간과 디자인 고민을 줄이기 위해서 꾸준히 콘텐츠 제작을 하고 있으니 링크 통해서 좋은 정보 얻어가세요 ^_^ | 이거 맘만 먹으면 초딩조 가능 | 저도 발표 준비로 인해 만들기도 어렵고 힘들어서 막막했거든요.<br>그래서 항상 그것 땜에 잠도 편히 못자 예민했는데 영양제로 멜라티움  챙겨가며 복용했더니 편안하게 잠 푹잤네요 | 현재 디자인쪽으로 진로를 고민하는 고1 학생입니다<br>볼때마다 대단하다고 느낍니다… 저도 언젠가는 미스터 피피티님 처럼 디자인 할 수 있었으면 좋겠네요 항상 응원 합니다! | 아...설명좀 햐주지 ㅜㅜ 뭘 눌러야할지모르겟음 ㅜ"
"간호법 1분 정리 / 채널A #shorts","간호법 #간호사 #의사 #간호조무사 #국회통과 #대통령거부권 #의료법 #채널A #뉴스A ○ 기사 보기 ▷채널A뉴스 구독 ...","양아치냐. 지가 거부해놓고 | 환자한테 도움되는 방향으로 가야할거같아요 간호사도 개원가능하게 하는건 아닌거같..아요 | 저러니 사무장 병원이 판을 치지  어짜피 지역병원들은 의사가 일 안하고 간호사가 의사 이름으로 처방이고 진료의뢰서건 소견서건 간호사가 다쓰는데 이미 알사람은 다 알지 않음? | 노인요양시설 복지시설 피부클리닉 개원가능 | 의사들 덕분에 간호법 제정 되었네"
"안철수 &quot;AI법안 발의&quot; (2)","안철수 ""AI법안 발의"" (2) * 출처 최경영의 최강시사 (2023.08.09 방송) https://youtu.be/BJAffiH4HQ8 #안철수 #국민의힘 #국회의원 ...","안철수 &quot;AI법안 발의&quot; (1)<br><a href=""https://www.youtube.com/shorts/IVKzw_LQ98M"">https://youtube.com/shorts/IVKzw_LQ98M</a><br>안철수 &quot;AI법안 발의&quot; (2)<br><a href=""https://www.youtube.com/shorts/ORGAVVTbOPg"">https://youtube.com/shorts/ORGAVVTbOPg</a> | 안철수를 지지하는 여러가지 이유중 하나가 국가에 꼭 필요한 이런 사안을 위해 일해서 이다 | 정치혜안을 모든 분야에서 갖고계신 안철수의원님이 있어서 든든하고 넘 좋네요.<br>부지런하시고 똑똑하시고 선하신 안철수님 나라를 위해서 애써주심에 늘 감사드려요~😂😂😂 | 안철수 제일 좋아하는 정치인에서. 지금은 제일 싫어하는 정치인. 당신 한번에. 선택 때문에. 얼마나 많은 국민들이. 고통 받는지 생각해 보세요. 지금은 저사람 목소리만 들어도 치가 떨림 | 과학자어울리심🎉🎉"
"유럽연합 인공지능법안① 2021 집행위원회안 | 자료같이읽어요★인공지능과 정보인권 세미나","자료같이읽어요 | 인공지능과 정보인권 세미나 by 정보인권연구소X진보네트워크센터XAPC 유럽연합 인공지능법안① 2021. 4.",""
"드론·로봇도 택배 운송에 활용, 법안 국회 통과 #shorts","드론과 로봇도 택배에 활용할 수 있도록 하는 내용의 생활물류서비스법 개정안이 국회 본회의를 통과했습니다. #드론 #로봇 #택배 ...",""
"안철수 &quot;AI법안 발의&quot; (1)","안철수 ""AI법안 발의"" (1) * 출처 최경영의 최강시사 (2023.08.09 방송) https://youtu.be/BJAffiH4HQ8 #안철수 #국민의힘 #국회의원 ...","안철수 &quot;AI법안 발의&quot; (1)<br><a href=""https://www.youtube.com/shorts/IVKzw_LQ98M"">https://youtube.com/shorts/IVKzw_LQ98M</a><br>안철수 &quot;AI법안 발의&quot; (2)<br><a href=""https://www.youtube.com/shorts/ORGAVVTbOPg"">https://youtube.com/shorts/ORGAVVTbOPg</a> | 클라스가 다른 정치인 안철수의원님 존경하고 지지합니다 | 안철수는 도덕성과 청렴성을 겸비한 천재형 지도자 대한민국에 안철수라는 정치인이 있다는게 너무 자랑스럽습니다 | 좋은 법안이네. | 딸딸이 치는 소리를 하네"
"&quot;발생 가능한 윤리적 문제는?&quot;...AI 윤리 국가표준 첫 제정 / YTN","[앵커] 챗GPT 같은 생성형 인공지능의 열풍은 기술발전에 대한 기대와 동시에 윤리적인 문제에 대한 고민도 안겨주고 있습니다. AI ...","😊😊 | 친일파들 - 가정파괴범 - 피해자에 대한 재범을 공언하는 범죄자의 인권은 보호할 필요는 없겠지.<br>다른 것들은 전문가들이 여론수렴 과정을 거쳐 결정해야겠지만"
